eventTime,symbol,interval,openPrice,closePrice,highPrice,lowPrice,entry_price,orderId
2022-09-02 14:20:00.037000,ETHUSDT,1m,1632.03,1632.45,1634.0,1632.0,0,"{'symbol': 'ETHUSDT', 'orderId': 9822904, 'orderListId': -1, 'clientOrderId': '8fCNY2Oojl5hrDyOnknkBp', 'transactTime': 1662128400873, 'price': '0.00000000', 'origQty': '1.00000000', 'executedQty': '1.00000000', 'cummulativeQuoteQty': '1636.03750610', 'status': 'FILLED', 'timeInForce': 'GTC', 'type': 'MARKET', 'side': 'BUY', 'fills': [{'price': '1636.02000000', 'qty': '0.32396000', 'commission': '0.00000000', 'commissionAsset': 'ETH', 'tradeId': 2450645}, {'price': '1636.03000000', 'qty': '0.31785000', 'commission': '0.00000000', 'commissionAsset': 'ETH', 'tradeId': 2450646}, {'price': '1636.06000000', 'qty': '0.35819000', 'commission': '0.00000000', 'commissionAsset': 'ETH', 'tradeId': 2450647}]}"
2022-09-02 14:23:00.103000,ETHUSDT,1m,1632.48,1634.57,1636.0,1632.48,0,"{'symbol': 'ETHUSDT', 'orderId': 9823426, 'orderListId': -1, 'clientOrderId': 'KrDd4AWN2P99V0CeBMaULe', 'transactTime': 1662128580722, 'price': '0.00000000', 'origQty': '1.00000000', 'executedQty': '1.00000000', 'cummulativeQuoteQty': '1637.68972950', 'status': 'FILLED', 'timeInForce': 'GTC', 'type': 'MARKET', 'side': 'SELL', 'fills': [{'price': '1637.85000000', 'qty': '0.17697000', 'commission': '0.00000000', 'commissionAsset': 'USDT', 'tradeId': 2450824}, {'price': '1637.66000000', 'qty': '0.43355000', 'commission': '0.00000000', 'commissionAsset': 'USDT', 'tradeId': 2450825}, {'price': '1637.65000000', 'qty': '0.38948000', 'commission': '0.00000000', 'commissionAsset': 'USDT', 'tradeId': 2450826}]}"
2022-09-02 14:24:00.018000,ETHUSDT,1m,1634.56,1636.48,1636.56,1633.03,0,"{'symbol': 'ETHUSDT', 'orderId': 9823577, 'orderListId': -1, 'clientOrderId': 'HfL3LeK6iZQFZHwMA4iCEr', 'transactTime': 1662128640501, 'price': '0.00000000', 'origQty': '1.00000000', 'executedQty': '1.00000000', 'cummulativeQuoteQty': '1637.60610650', 'status': 'FILLED', 'timeInForce': 'GTC', 'type': 'MARKET', 'side': 'SELL', 'fills': [{'price': '1637.61000000', 'qty': '0.61065000', 'commission': '0.00000000', 'commissionAsset': 'USDT', 'tradeId': 2450879}, {'price': '1637.60000000', 'qty': '0.38935000', 'commission': '0.00000000', 'commissionAsset': 'USDT', 'tradeId': 2450880}]}"
2022-09-02 14:26:00.065000,ETHUSDT,1m,1633.3,1634.85,1635.54,1633.3,0,"{'symbol': 'ETHUSDT', 'orderId': 9823938, 'orderListId': -1, 'clientOrderId': 'o1M0pNRSljiAj6UyKf0Vkm', 'transactTime': 1662128760736, 'price': '0.00000000', 'origQty': '1.00000000', 'executedQty': '1.00000000', 'cummulativeQuoteQty': '1635.33629050', 'status': 'FILLED', 'timeInForce': 'GTC', 'type': 'MARKET', 'side': 'SELL', 'fills': [{'price': '1635.79000000', 'qty': '0.07255000', 'commission': '0.00000000', 'commissionAsset': 'USDT', 'tradeId': 2450995}, {'price': '1635.68000000', 'qty': '0.45853000', 'commission': '0.00000000', 'commissionAsset': 'USDT', 'tradeId': 2450996}, {'price': '1634.93000000', 'qty': '0.46892000', 'commission': '0.00000000', 'commissionAsset': 'USDT', 'tradeId': 2450997}]}"
2022-09-02 14:29:00.083000,ETHUSDT,1m,1636.51,1635.94,1636.88,1635.24,0,"{'symbol': 'ETHUSDT', 'orderId': 9824496, 'orderListId': -1, 'clientOrderId': 'jeiUCS5pK2N88CDMFalW31', 'transactTime': 1662128941072, 'price': '0.00000000', 'origQty': '1.00000000', 'executedQty': '1.00000000', 'cummulativeQuoteQty': '1633.83354640', 'status': 'FILLED', 'timeInForce': 'GTC', 'type': 'MARKET', 'side': 'SELL', 'fills': [{'price': '1633.84000000', 'qty': '0.42232000', 'commission': '0.00000000', 'commissionAsset': 'USDT', 'tradeId': 2451190}, {'price': '1633.83000000', 'qty': '0.56922000', 'commission': '0.00000000', 'commissionAsset': 'USDT', 'tradeId': 2451191}, {'price': '1633.75000000', 'qty': '0.00846000', 'commission': '0.00000000', 'commissionAsset': 'USDT', 'tradeId': 2451192}]}"
2022-09-02 14:34:00.037000,ETHUSDT,1m,1641.8,1638.05,1642.34,1637.65,0,"{'symbol': 'ETHUSDT', 'orderId': 9825495, 'orderListId': -1, 'clientOrderId': '50242xqXIgw38sL3WB1cs1', 'transactTime': 1662129241184, 'price': '0.00000000', 'origQty': '1.00000000', 'executedQty': '1.00000000', 'cummulativeQuoteQty': '1636.97415750', 'status': 'FILLED', 'timeInForce': 'GTC', 'type': 'MARKET', 'side': 'SELL', 'fills': [{'price': '1637.00000000', 'qty': '0.12815000', 'commission': '0.00000000', 'commissionAsset': 'USDT', 'tradeId': 2451550}, {'price': '1636.99000000', 'qty': '0.58645000', 'commission': '0.00000000', 'commissionAsset': 'USDT', 'tradeId': 2451551}, {'price': '1636.93000000', 'qty': '0.28540000', 'commission': '0.00000000', 'commissionAsset': 'USDT', 'tradeId': 2451552}]}"
